lead_id,company,website,segment,why_high_chance,provider_signal,inhouse_signal,win_probability,priority,next_step
HC-001,Ascend Global,https://ascendglobal.io,iGaming programmatic agency,Agency model + high-volume traffic services and no obvious payment-provider branding on public pages,no-clear-provider-found,no-clear-inhouse-payments,0.72,A,Find Head of Performance/Operations on LinkedIn
HC-002,CliqBetter,https://cliqbetter.com,iGaming ad network/media buying,Direct iGaming media buying offer suggests active spend ops and multi-campaign billing complexity,no-clear-provider-found,possible-inhouse-marketing-only,0.70,A,Map commercial/ops lead and run discovery message
HC-003,iGaming Scale,https://igamingscale.com,iGaming media buying agency,Pure-play media buying positioning fits virtual-card + wallet need,no-clear-provider-found,possible-inhouse-marketing-only,0.68,B,Identify founder + send EN/RU first touch
HC-004,Performix Media,https://performixmedia.com,iGaming acquisition agency,Acquisition-focused agency likely has campaign-level payment operations,no-clear-provider-found,no-clear-inhouse-payments,0.67,B,Find decision maker and qualify spend/card volume
HC-005,XCLSV Media,https://xclsvmedia.com,Sports betting/iGaming marketing,Vertical fit with likely recurring ad spend and payment scaling pain,no-clear-provider-found,no-clear-inhouse-payments,0.66,B,Outreach to growth/performance lead
HC-006,Player Performance Group,https://www.playerperformancegroup.com,Casino performance marketing,Casino performance operations likely require segmented card control,no-clear-provider-found,no-clear-inhouse-payments,0.65,B,Find COO/Head of Ops for discovery
HC-007,Incline Gaming,https://inclinegaming.com,iGaming marketing agency,Strong vertical relevance and potential need for blended crypto/fiat flows,no-clear-provider-found,possible-inhouse-marketing-only,0.63,B,Confirm if they buy media directly or subcontract
HC-008,TBD.Media,https://tbd.media/igaming-marketing/,iGaming marketing agency,Vertical service fit and potential multi-account ad spend operations,no-clear-provider-found,no-clear-inhouse-payments,0.62,B,Find paid media manager contact
HC-009,Clear Media Group (iGaming),https://clearmediagroup.ca/igaming-media-buying-agency/,iGaming media buying agency,Explicit iGaming media buying service page aligns with use case,no-clear-provider-found,no-clear-inhouse-payments,0.61,B,Geo + budget qualification message
HC-010,Choix Media LLC,https://www.choixmedia.com,Media buying agency,Likely paid traffic operations; could need better card/wallet control at scale,no-clear-provider-found,no-clear-inhouse-payments,0.58,C,Verify vertical fit then outreach
