dm_id,company_id,company,market_region,full_name,title,linkedin_url,email,telegram,status,last_contact,next_step,notes
DM-001,C-001,Ascend Global,EU/Global,,Head of Performance Marketing / Partnerships,https://www.linkedin.com/company/ascend-igaming,, ,Partially Found,,Reach out to Partnerships/BizDev first,Company LinkedIn found; need partnerships person
DM-002,C-002,CliqBetter,EU/Global,,Business Development Manager / Commercial Partnerships,, ,https://t.me/cliqbetter,Found,,Open with partnership + media-buying ops angle,Telegram direct route available
DM-003,C-003,iGaming Scale,EU/Global,,Head of Media Buying / Partnerships Manager,https://www.linkedin.com/company/igaming-scale/,info@igamingscale.com, ,Found,,Ask for person managing payment ops for buyer teams,General inbox + company LinkedIn; request Head of Media Buying
DM-004,C-004,Performix Media,EU/Global,,Head of Acquisition / Partnerships Lead,https://www.linkedin.com/company/performix-media/,affiliates@performixmedia.com, ,Found,,Find person responsible for client growth and ops,Affiliate/commercial contact route
DM-005,C-005,XCLSV Media,EU/Global,Zaire Williams,Founder,https://www.linkedin.com/company/xclusive-talent/?viewAsMember=true,,,Partially Found,,Request intro to Partnerships/Account lead,Company LinkedIn found; need named operator
DM-006,C-006,Player Performance Group,US,Chris Province,Founder / Performance Lead,https://www.linkedin.com/in/brandieblair/,awheeler@playerperformancegroup.com,,Found,,Ask for Media Director / Client Success lead,Team email and staff LinkedIn found
DM-007,C-007,Incline Gaming,EU/Global,,Performance Director / Client Partnerships Manager,, , ,Role Target,,Target delivery owner not founder,Pending profile match
DM-008,C-008,TBD.Media,EU/Global,Brandon Ortega,CEO/Founder,https://www.linkedin.com/company/tbd-media/,hello@tbd.media,,Found,,Request intro to paid media/account lead,Direct company contact found
DM-009,C-009,Clear Media Group (iGaming),CA/EU,Joe Battista,Media Director,https://www.linkedin.com/company/clearmedia-tv-inc-/about/,hello@clearmediagroup.ca,,Found,,Reach media director first for collaboration,Company contact + LinkedIn; ask for media buying lead
DM-011,C-011,GameOn,EU/Global,,Partnerships Manager / Account Director,https://www.linkedin.com/company/gameon-marketing/, , ,Partially Found,,Offer collaboration model for affiliate/media clients,Company LinkedIn found
DM-012,C-012,Bird Marketing (Casino),UK/EU,,Head of Paid Media / Partnerships Manager,https://www.linkedin.com/company/bird-marketing/, , ,Partially Found,,Lead with payment reliability for casino campaigns,Company LinkedIn found; route to paid media lead
DM-013,C-013,Traffic Lab (iGaming),EU/Global,,Performance Marketing Manager / COO,, , ,Role Target,,Find operator handling daily spend execution,New target
DM-016,C-016,Click Intelligence,UK/EU,,Account Director / PPC Lead,https://www.linkedin.com/company/click-intelligence, , ,Found,,Target campaign owner who feels payment friction,Company LinkedIn found; ask for PPC account director
DM-017,C-017,AWISEE,EU,,Partnerships Manager / Head of Growth,https://www.linkedin.com/company/awisee, ,https://t.me/awiseeagency,Found,,Pitch collaboration workflow for buying teams,Telegram + company LinkedIn found
DM-018,C-018,Crowdcreate,US,,Account Director / Paid Media Lead,https://www.linkedin.com/company/crowdcreate,hello@crowdcreate.us,https://t.me/crowdcreate,Found,,Target delivery-side operator for faster conversion,Direct email + Telegram + LinkedIn found
DM-019,C-019,NinjaPromo,Global,,iGaming Practice Lead / Partnerships Manager,https://www.linkedin.com/company/ninjapromo/,hello@ninjapromo.io, ,Found,,Find owner of iGaming book of business,Direct email + company LinkedIn found
DM-020,C-020,Andava,EU/Global,,Head of Paid Media / Account Director,https://www.linkedin.com/company/andava-digital-marketing-agency,hello@andava.com,,Found,,Reach account lead handling buying ops,Company LinkedIn + email found
DM-021,C-021,Rise The Bet,EU,,Partnerships Manager / Performance Lead,https://www.linkedin.com/company/rise-the-bet-ltd/,,,Partially Found,,Find named partnerships/operator contact,Company LinkedIn found
DM-022,C-022,AdversterX,EU/Global,,Media Buying Manager,,igaming@adversterx.com,https://t.me/Christina_Mediabuying,Found,,Telegram-first intro for collaboration,Direct email + Telegram found
DM-023,C-023,Triple Mind Media,EU/Global,,Partnerships Manager,,partners@triplemindmedia.com,,Found,,Email partnership collaboration pitch,Direct partnerships inbox found
DM-024,C-024,Revpanda,EU/Global,,Account Director / Paid Media Lead,https://www.linkedin.com/company/revpanda/,,,Partially Found,,Find named account lead,Company LinkedIn found
DM-025,C-025,SEO iGaming,EU/Global,,PPC Manager / Account Lead,https://www.linkedin.com/company/igaming-seo-agency/,,,Partially Found,,Find named PPC operator,Company LinkedIn found
